perturbation,Log2 fold change,FDR P value,Cell type affected,Known regulation of macrophage differentiation or CD14,References,screened_by_surdziel
Hs.559355,0,1,,Not reviewed,,not screened
LOC387753,0,1,,Not reviewed,,not screened
LOC650770,0,1,,Not reviewed,,not screened
Hs.572686,0,1,,Not reviewed,,not screened
PECR,0,1,,Not reviewed,,not screened
PIK3R3,0,1,,Not reviewed,,not screened
DUSP2,0,1,,Not reviewed,,not screened
LOC650759,0,1,,Not reviewed,,not screened
Hs.298112,0,1,,Not reviewed,,not screened
Hs.124514,0,1,,Not reviewed,,not screened
XPA,0,1,,Not reviewed,,not screened
STAG1,0,1,,Not reviewed,,not screened
LOC653266,0,1,,Not reviewed,,not screened
TLE2,0,1,,Not reviewed,,not screened
LOC644982,0,1,,Not reviewed,,not screened
Hs.565622,0,1,,Not reviewed,,not screened
NPY5R,0,1,,Not reviewed,,not screened
Hs.65882,0,1,,Not reviewed,,not screened
NPHS2,0,1,,Not reviewed,,not screened
TOE1,0,1,,Not reviewed,,not screened
BCOR,0,1,,Not reviewed,,not screened
LOC375449,0,1,,Not reviewed,,not screened
Hs.569932,0,1,,Not reviewed,,not screened
GLMN,0,1,,Not reviewed,,not screened
IL9,0,1,,Not reviewed,,not screened
Hs.559488,0,1,,Not reviewed,,not screened
SH3BP5L,0,1,,Not reviewed,,not screened
Hs.578359,0,1,,Not reviewed,,not screened
PAPD1,0,1,,Not reviewed,,not screened
Hs.128325,0,1,,Not reviewed,,not screened
Hs.550627,0,1,,Not reviewed,,not screened
OR5H1,0,1,,Not reviewed,,not screened
KRTAP4-14,0,1,,Not reviewed,,not screened
ANAPC7,0,1,,Not reviewed,,not screened
Hs.535701,0,1,,Not reviewed,,not screened
Hs.560095,0,1,,Not reviewed,,not screened
PIK4CA,0,1,,Not reviewed,,not screened
Hs.163027,0,1,,Not reviewed,,not screened
SNRPG,0,1,,Not reviewed,,not screened
LOC643598,0,1,,Not reviewed,,not screened
Hs.543480,0,1,,Not reviewed,,not screened
Hs.579386,0,1,,Not reviewed,,not screened
Hs.451159,0,1,,Not reviewed,,not screened
Hs.436592,0,1,,Not reviewed,,not screened
CHST10,0,1,,Not reviewed,,not screened
C17orf28,0,1,,Not reviewed,,not screened
Hs.543251,0,1,,Not reviewed,,not screened
Hs.545905,0,1,,Not reviewed,,not screened
Hs.36563,0,1,,Not reviewed,,not screened
ZNF552,0,1,,Not reviewed,,not screened
CRTAP,0,1,,Not reviewed,,not screened
Hs.579599,0,1,,Not reviewed,,not screened
LOC651845,0,1,,Not reviewed,,not screened
PPP1R14D,0,1,,Not reviewed,,not screened
SEC31L2,0,1,,Not reviewed,,not screened
VGF,0,1,,Not reviewed,,not screened
Hs.570982,0,1,,Not reviewed,,not screened
FLJ25410,0,1,,Not reviewed,,not screened
MASS1,0,1,,Not reviewed,,not screened
LOC646862,0,1,,Not reviewed,,not screened
LHX9,0,1,,Not reviewed,,not screened
LOC641814,0,1,,Not reviewed,,not screened
AKAP7,0,1,,Not reviewed,,not screened
FLJ13576,0,1,,Not reviewed,,not screened
PDE9A,0,1,,Not reviewed,,not screened
DOCK7,0,1,,Not reviewed,,not screened
MUC12,0,1,,Not reviewed,,not screened
Hs.518418,0,1,,Not reviewed,,not screened
Hs.97313,0,1,,Not reviewed,,not screened
POP5,0,1,,Not reviewed,,not screened
PAPPA2,0,1,,Not reviewed,,not screened
LOC285556,0,1,,Not reviewed,,not screened
Hs.543880,0,1,,Not reviewed,,not screened
LOC643841,0,1,,Not reviewed,,not screened
MYOM2,0,1,,Not reviewed,,not screened
Hs.164254,0,1,,Not reviewed,,not screened
BNC2,0,1,,Not reviewed,,not screened
Hs.564968,0,1,,Not reviewed,,not screened
Hs.554346,0,1,,Not reviewed,,not screened
Hs.552556,0,1,,Not reviewed,,not screened
Hs.544883,0,1,,Not reviewed,,not screened
PDE4DIP,0,1,,Not reviewed,,not screened
CIC,0,1,,Not reviewed,,not screened
LOC440978,0,1,,Not reviewed,,not screened
Hs.576036,0,1,,Not reviewed,,not screened
Hs.572339,0,1,,Not reviewed,,not screened
LOC648907,0,1,,Not reviewed,,not screened
PALMD,0,1,,Not reviewed,,not screened
Hs.544474,0,1,,Not reviewed,,not screened
LOC401317,0,1,,Not reviewed,,not screened
Hs.534877,0,1,,Not reviewed,,not screened
Hs.538613,0,1,,Not reviewed,,not screened
OLFM4,0,1,,Not reviewed,,not screened
LYPD3,0,1,,Not reviewed,,not screened
DLX4,0,1,,Not reviewed,,not screened
MPPED2,0,1,,Not reviewed,,not screened
LOC652620,0,1,,Not reviewed,,not screened
Hs.535534,0,1,,Not reviewed,,not screened
WDR57,0,1,,Not reviewed,,not screened
SAPS2,0,1,,Not reviewed,,not screened
LOC642011,0,1,,Not reviewed,,not screened
USP21,0,1,,Not reviewed,,not screened
Hs.570617,0,1,,Not reviewed,,not screened
Hs.564292,0,1,,Not reviewed,,not screened
LOC650261,0,1,,Not reviewed,,not screened
Hs.580914,0,1,,Not reviewed,,not screened
Hs.147231,0,1,,Not reviewed,,not screened
LOC388885,0,1,,Not reviewed,,not screened
PGBD5,0,1,,Not reviewed,,not screened
Hs.539982,0,1,,Not reviewed,,not screened
KIF14,0,1,,Not reviewed,,not screened
Hs.122147,0,1,,Not reviewed,,not screened
ZAN,0,1,,Not reviewed,,not screened
Hs.567830,0,1,,Not reviewed,,not screened
LOC402382,0,1,,Not reviewed,,not screened
PRG-3,0,1,,Not reviewed,,not screened
Hs.542267,0,1,,Not reviewed,,not screened
Hs.527241,0,1,,Not reviewed,,not screened
Hs.580233,0,1,,Not reviewed,,not screened
FLJ20920,0,1,,Not reviewed,,not screened
FLJ41649,0,1,,Not reviewed,,not screened
C6orf68,0,1,,Not reviewed,,not screened
OXCT1,0,1,,Not reviewed,,not screened
Hs.582433,0,1,,Not reviewed,,not screened
Hs.146760,0,1,,Not reviewed,,not screened
LOC387680,0,1,,Not reviewed,,not screened
OR7G2,0,1,,Not reviewed,,not screened
COASY,0,1,,Not reviewed,,not screened
DMBT1,0,1,,Not reviewed,,not screened
PTGER3,0,1,,Not reviewed,,not screened
AP1M1,0,1,,Not reviewed,,not screened
KLK8,0,1,,Not reviewed,,not screened
DDX19B,0,1,,Not reviewed,,not screened
LOC653766,0,1,,Not reviewed,,not screened
RNF141,0,1,,Not reviewed,,not screened
ATRX,0,1,,Not reviewed,,screened
NHLRC2,0,1,,Not reviewed,,not screened
ABCC2,0,1,,Not reviewed,,not screened
HELZ,0,1,,Not reviewed,,not screened
LOC284701,0,1,,Not reviewed,,not screened
C8orf36,0,1,,Not reviewed,,not screened
Hs.540149,0,1,,Not reviewed,,not screened
DDEF1,0,1,,Not reviewed,,not screened
BAI2,0,1,,Not reviewed,,not screened
Hs.554428,0,1,,Not reviewed,,not screened
Hs.127018,0,1,,Not reviewed,,not screened
LOC645529,0,1,,Not reviewed,,not screened
FLJ25416,0,1,,Not reviewed,,not screened
LOC648054,0,1,,Not reviewed,,not screened
Hs.544825,0,1,,Not reviewed,,not screened
LOC642380,0,1,,Not reviewed,,not screened
FLJ10379,0,1,,Not reviewed,,not screened
Hs.581850,0,1,,Not reviewed,,not screened
Hs.133996,0,1,,Not reviewed,,not screened
Hs.584067,0,1,,Not reviewed,,not screened
Hs.580757,0,1,,Not reviewed,,not screened
Hs.484967,0,1,,Not reviewed,,not screened
INADL,0,1,,Not reviewed,,not screened
ZNF93,0,1,,Not reviewed,,not screened
IL31,0,1,,Not reviewed,,not screened
Hs.569303,0,1,,Not reviewed,,not screened
TRADD,0,1,,Not reviewed,,screened
Hs.562312,0,1,,Not reviewed,,not screened
HRH4,0,1,,Not reviewed,,not screened
Hs.442614,0,1,,Not reviewed,,not screened
Hs.580544,0,1,,Not reviewed,,not screened
Hs.545275,0,1,,Not reviewed,,not screened
Hs.523978,0,1,,Not reviewed,,not screened
GPC2,0,1,,Not reviewed,,not screened
EPO,0,1,,Not reviewed,,not screened
Hs.561808,0,1,,Not reviewed,,not screened
Hs.549722,0,1,,Not reviewed,,not screened
SPRR1B,0,1,,Not reviewed,,not screened
KCNJ3,0,1,,Not reviewed,,not screened
Hs.570365,0,1,,Not reviewed,,not screened
LOC647942,0,1,,Not reviewed,,not screened
PHLPPL,0,1,,Not reviewed,,not screened
SHMT1,0,1,,Not reviewed,,not screened
Hs.573807,0,1,,Not reviewed,,not screened
WDRPUH,0,1,,Not reviewed,,not screened
LOC375295,0,1,,Not reviewed,,not screened
LOC650006,0,1,,Not reviewed,,not screened
LOC653636,0,1,,Not reviewed,,not screened
Hs.552038,0,1,,Not reviewed,,not screened
LOC647374,0,1,,Not reviewed,,not screened
PLCL4,0,1,,Not reviewed,,not screened
LOC643533,0,1,,Not reviewed,,not screened
Hs.565786,0,1,,Not reviewed,,not screened
OR51G1,0,1,,Not reviewed,,not screened
IL27,0,1,,Not reviewed,,not screened
POLR2J3,0,1,,Not reviewed,,not screened
WBP11,0,1,,Not reviewed,,not screened
Hs.490309,0,1,,Not reviewed,,not screened
Hs.27902,0,1,,Not reviewed,,not screened
Hs.583145,0,1,,Not reviewed,,not screened
Hs.557632,0,1,,Not reviewed,,not screened
POLB,0,1,,Not reviewed,,not screened
Hs.371339,0,1,,Not reviewed,,not screened
ZNF165,0,1,,Not reviewed,,not screened
LOC645986,0,1,,Not reviewed,,not screened
KIF23,0,1,,Not reviewed,,not screened
C20orf20,0,1,,Not reviewed,,not screened
HIST1H2BO,0,1,,Not reviewed,,not screened
LOC113444,0,1,,Not reviewed,,not screened
Hs.572380,0,1,,Not reviewed,,not screened
ZYG11A,0,1,,Not reviewed,,not screened
STMN4,0,1,,Not reviewed,,not screened
Hs.575236,0,1,,Not reviewed,,not screened
Hs.539053,0,1,,Not reviewed,,not screened
FLJ22184,0,1,,Not reviewed,,not screened
Hs.566258,0,1,,Not reviewed,,not screened
Hs.543159,0,1,,Not reviewed,,not screened
SKIV2L2,0,1,,Not reviewed,,not screened
Hs.558267,0,1,,Not reviewed,,not screened
Hs.218029,0,1,,Not reviewed,,not screened
SNX3,0,1,,Not reviewed,,not screened
TSPAN4,0,1,,Not reviewed,,not screened
Hs.538341,0,1,,Not reviewed,,not screened
DKFZP564J102,0,1,,Not reviewed,,not screened
Hs.559209,0,1,,Not reviewed,,not screened
GTPBP3,0,1,,Not reviewed,,not screened
Hs.526996,0,1,,Not reviewed,,not screened
LOC338805,0,1,,Not reviewed,,not screened
Hs.574210,0,1,,Not reviewed,,not screened
PLK3,0,1,,Not reviewed,,not screened
Hs.322786,0,1,,Not reviewed,,not screened
Hs.562869,0,1,,Not reviewed,,not screened
HLA-H,0,1,,Not reviewed,,not screened
KCNJ13,0,1,,Not reviewed,,not screened
FTS,0,1,,Not reviewed,,not screened
Hs.569295,0,1,,Not reviewed,,not screened
Hs.249577,0,1,,Not reviewed,,not screened
KLHL17,0,1,,Not reviewed,,not screened
STRN,0,1,,Not reviewed,,not screened
Hs.259391,0,1,,Not reviewed,,not screened
PLRG1,0,1,,Not reviewed,,not screened
Hs.539653,0,1,,Not reviewed,,not screened
SEMA3B,0,1,,Not reviewed,,not screened
Hs.554587,0,1,,Not reviewed,,not screened
Hs.513842,0,1,,Not reviewed,,not screened
Hs.560393,0,1,,Not reviewed,,not screened
LOC649035,0,1,,Not reviewed,,not screened
Hs.540213,0,1,,Not reviewed,,not screened
MSH6,0,1,,Not reviewed,,screened
Hs.545033,0,1,,Not reviewed,,not screened
C19orf30,0,1,,Not reviewed,,not screened
LOC285768,0,1,,Not reviewed,,not screened
FLJ30092,0,1,,Not reviewed,,not screened
USP5,0,1,,Not reviewed,,not screened
TMC4,0,1,,Not reviewed,,not screened
MIER1,0,1,,Not reviewed,,not screened
COMMD4,0,1,,Not reviewed,,not screened
POLR2K,0,1,,Not reviewed,,not screened
Hs.566889,0,1,,Not reviewed,,not screened
Hs.568387,0,1,,Not reviewed,,not screened
PRLH,0,1,,Not reviewed,,not screened
Hs.544567,0,1,,Not reviewed,,not screened
Hs.554255,0,1,,Not reviewed,,not screened
Hs.576713,0,1,,Not reviewed,,not screened
LOC388621,0,1,,Not reviewed,,not screened
LOC644714,0,1,,Not reviewed,,not screened
Hs.544736,0,1,,Not reviewed,,not screened
SEMA4B,0,1,,Not reviewed,,not screened
LOC58489,0,1,,Not reviewed,,not screened
Hs.543924,0,1,,Not reviewed,,not screened
LOC650498,0,1,,Not reviewed,,not screened
BRCC2,0,1,,Not reviewed,,not screened
RSRC1,0,1,,Not reviewed,,not screened
Hs.581199,0,1,,Not reviewed,,not screened
Hs.536620,0,1,,Not reviewed,,not screened
TIMM8B,0,1,,Not reviewed,,not screened
SH3BP5,0,1,,Not reviewed,,not screened
LOC647415,0,1,,Not reviewed,,not screened
P2RY13,0,1,,Not reviewed,,not screened
BYSL,0,1,,Not reviewed,,not screened
Hs.494017,0,1,,Not reviewed,,not screened
C17orf51,0,1,,Not reviewed,,not screened
RNU27,0,1,,Not reviewed,,not screened
LOC400807,0,1,,Not reviewed,,not screened
FLJ12886,0,1,,Not reviewed,,not screened
Hs.344169,0,1,,Not reviewed,,not screened
LRRN6D,0,1,,Not reviewed,,not screened
Hs.544510,0,1,,Not reviewed,,not screened
Hs.577971,0,1,,Not reviewed,,not screened
C14orf169,0,1,,Not reviewed,,screened
LAMB3,0,1,,Not reviewed,,not screened
GNAT3,0,1,,Not reviewed,,not screened
DKFZp666G057,0,1,,Not reviewed,,not screened
FAM60A,0,1,,Not reviewed,,not screened
CSTF1,0,1,,Not reviewed,,not screened
LOC401410,0,1,,Not reviewed,,not screened
FLJ39822,0,1,,Not reviewed,,not screened
LOC643501,0,1,,Not reviewed,,not screened
C9orf23,0,1,,Not reviewed,,not screened
Hs.539467,0,1,,Not reviewed,,not screened
GGTLA4,0,1,,Not reviewed,,not screened
Hs.580394,0,1,,Not reviewed,,not screened
ITM2C,0,1,,Not reviewed,,not screened
Hs.127008,0,1,,Not reviewed,,not screened
LOC644931,0,1,,Not reviewed,,not screened
SERPINF1,0,1,,Not reviewed,,not screened
SGCB,0,1,,Not reviewed,,not screened
Hs.530833,0,1,,Not reviewed,,not screened
CABP1,0,1,,Not reviewed,,not screened
Hs.542104,0,1,,Not reviewed,,not screened
LOC646829,0,1,,Not reviewed,,not screened
Hs.582191,0,1,,Not reviewed,,not screened
LOC643668,0,1,,Not reviewed,,not screened
LOC653050,0,1,,Not reviewed,,not screened
Hs.543063,0,1,,Not reviewed,,not screened
Hs.571177,0,1,,Not reviewed,,not screened
HIST2H2BE,0,1,,Not reviewed,,not screened
Hs.545282,0,1,,Not reviewed,,not screened
LOC644756,0,1,,Not reviewed,,not screened
OPN3,0,1,,Not reviewed,,not screened
DNAL4,0,1,,Not reviewed,,not screened
LOC644197,0,1,,Not reviewed,,not screened
MYH10,0,1,,Not reviewed,,not screened
Hs.212235,0,1,,Not reviewed,,not screened
GALNT10,0,1,,Not reviewed,,not screened
DRD4,0,1,,Not reviewed,,not screened
CPSF3L,0,1,,Not reviewed,,not screened
Hs.545117,0,1,,Not reviewed,,not screened
LOC652082,0,1,,Not reviewed,,not screened
GAB1,0,1,,Not reviewed,,not screened
Hs.570661,0,1,,Not reviewed,,not screened
Hs.526617,0,1,,Not reviewed,,not screened
Hs.536684,0,1,,Not reviewed,,not screened
DKFZP564J0863,0,1,,Not reviewed,,not screened
Hs.386143,0,1,,Not reviewed,,not screened
Hs.17892,0,1,,Not reviewed,,not screened
Hs.367955,0,1,,Not reviewed,,not screened
Hs.581440,0,1,,Not reviewed,,not screened
Hs.575814,0,1,,Not reviewed,,not screened
FAM47B,0,1,,Not reviewed,,not screened
Hs.574907,0,1,,Not reviewed,,not screened
Hs.256852,0,1,,Not reviewed,,not screened
Hs.537766,0,1,,Not reviewed,,not screened
SAV1,0,1,,Not reviewed,,not screened
Hs.565187,0,1,,Not reviewed,,not screened
LOC653943,0,1,,Not reviewed,,not screened
AIM1,0,1,,Not reviewed,,not screened
Hs.563428,0,1,,Not reviewed,,not screened
FAM46A,0,1,,Not reviewed,,not screened
HIATL2,0,1,,Not reviewed,,not screened
Hs.563517,0,1,,Not reviewed,,not screened
TBRG1,0,1,,Not reviewed,,not screened
Hs.542166,0,1,,Not reviewed,,not screened
KCNK1,0,1,,Not reviewed,,not screened
Hs.580761,0,1,,Not reviewed,,not screened
Hs.556696,0,1,,Not reviewed,,not screened
Hs.377257,0,1,,Not reviewed,,not screened
Hs.566077,0,1,,Not reviewed,,not screened
Hs.442504,0,1,,Not reviewed,,not screened
TMEM67,0,1,,Not reviewed,,not screened
TSPAN3,0,1,,Not reviewed,,not screened
GSTA4,0,1,,Not reviewed,,not screened
Hs.187290,0,1,,Not reviewed,,not screened
FLJ00060,0,1,,Not reviewed,,not screened
Hs.432352,0,1,,Not reviewed,,not screened
Hs.464614,0,1,,Not reviewed,,not screened
Hs.202053,0,1,,Not reviewed,,not screened
ICOSLG,0,1,,Not reviewed,,not screened
LOC651771,0,1,,Not reviewed,,not screened
TMEM74,0,1,,Not reviewed,,not screened
GRB14,0,1,,Not reviewed,,not screened
CPNE6,0,1,,Not reviewed,,not screened
GLIS3,0,1,,Not reviewed,,not screened
Hs.157771,0,1,,Not reviewed,,not screened
CLDN10,0,1,,Not reviewed,,not screened
Hs.571497,0,1,,Not reviewed,,not screened
Hs.570126,0,1,,Not reviewed,,not screened
GRLF1,0,1,,Not reviewed,,not screened
ARHGEF18,0,1,,Not reviewed,,not screened
KRTAP6-3,0,1,,Not reviewed,,not screened
Hs.549963,0,1,,Not reviewed,,not screened
Hs.522635,0,1,,Not reviewed,,not screened
PPP2R5C,0,1,,Not reviewed,,not screened
Hs.254477,0,1,,Not reviewed,,not screened
Hs.543949,0,1,,Not reviewed,,not screened
RBM19,0,1,,Not reviewed,,not screened
ZNF297,0,1,,Not reviewed,,not screened
Hs.543352,0,1,,Not reviewed,,not screened
Hs.131611,0,1,,Not reviewed,,not screened
TANC1,0,1,,Not reviewed,,not screened
LETMD1,0,1,,Not reviewed,,not screened
P2RX2,0,1,,Not reviewed,,not screened
THRAP1,0,1,,Not reviewed,,not screened
PDE3A,0,1,,Not reviewed,,not screened
LOC441548,0,1,,Not reviewed,,not screened
Hs.539129,0,1,,Not reviewed,,not screened
LOC645552,0,1,,Not reviewed,,not screened
LOC339799,0,1,,Not reviewed,,not screened
LOC648934,0,1,,Not reviewed,,not screened
ALDOA,0,1,,Not reviewed,,not screened
LOC391165,0,1,,Not reviewed,,not screened
CHCHD4,0,1,,Not reviewed,,not screened
ELOVL5,0,1,,Not reviewed,,not screened
ZNF593,0,1,,Not reviewed,,not screened
Hs.170862,0,1,,Not reviewed,,not screened
CD53,0,1,,Not reviewed,,not screened
Hs.513574,0,1,,Not reviewed,,not screened
Hs.317248,0,1,,Not reviewed,,not screened
LOC652765,0,1,,Not reviewed,,not screened
VN1R1,0,1,,Not reviewed,,not screened
LOC652483,0,1,,Not reviewed,,not screened
LOC389901,0,1,,Not reviewed,,not screened
FLJ25006,0,1,,Not reviewed,,not screened
LDOC1,0,1,,Not reviewed,,not screened
Hs.581620,0,1,,Not reviewed,,not screened
Hs.544080,0,1,,Not reviewed,,not screened
Hs.540117,0,1,,Not reviewed,,not screened
Hs.580321,0,1,,Not reviewed,,not screened
LOC646590,0,1,,Not reviewed,,not screened
Hs.329495,0,1,,Not reviewed,,not screened
SLC6A15,0,1,,Not reviewed,,not screened
Hs.568589,0,1,,Not reviewed,,not screened
Hs.26922,0,1,,Not reviewed,,not screened
LOC644407,0,1,,Not reviewed,,not screened
SLC6A11,0,1,,Not reviewed,,not screened
Hs.159975,0,1,,Not reviewed,,not screened
LRRC2,0,1,,Not reviewed,,not screened
DEK,0,1,,Not reviewed,,not screened
FAM35A,0,1,,Not reviewed,,not screened
REL,0,1,,Not reviewed,,screened
LOC644347,0,1,,Not reviewed,,not screened
LOC646278,0,1,,Not reviewed,,not screened
ADAM7,0,1,,Not reviewed,,not screened
CNTD,0,1,,Not reviewed,,not screened
Hs.578483,0,1,,Not reviewed,,not screened
Hs.555467,0,1,,Not reviewed,,not screened
Hs.545764,0,1,,Not reviewed,,not screened
Hs.36034,0,1,,Not reviewed,,not screened
TADA2L,0,1,,Not reviewed,,not screened
GGT1,0,1,,Not reviewed,,not screened
Hs.581432,0,1,,Not reviewed,,not screened
Hs.551173,0,1,,Not reviewed,,not screened
LOC440585,0,1,,Not reviewed,,not screened
VILL,0,1,,Not reviewed,,not screened
Hs.576599,0,1,,Not reviewed,,not screened
Hs.212055,0,1,,Not reviewed,,not screened
TERF1,0,1,,Not reviewed,,screened
Hs.211136,0,1,,Not reviewed,,not screened
IPO7,0,1,,Not reviewed,,not screened
Hs.567132,0,1,,Not reviewed,,not screened
LOC255620,0,1,,Not reviewed,,not screened
Hs.521005,0,1,,Not reviewed,,not screened
LOC646129,0,1,,Not reviewed,,not screened
FLJ31401,0,1,,Not reviewed,,not screened
Hs.123534,0,1,,Not reviewed,,not screened
Hs.479744,0,1,,Not reviewed,,not screened
ELL2,0,1,,Not reviewed,,not screened
Hs.538496,0,1,,Not reviewed,,not screened
CYB5R1,0,1,,Not reviewed,,not screened
TMEM56,0,1,,Not reviewed,,not screened
VAPA,0,1,,Not reviewed,,not screened
WFDC11,0,1,,Not reviewed,,not screened
Hs.570100,0,1,,Not reviewed,,not screened
FECH,0,1,,Not reviewed,,not screened
LOC648367,0,1,,Not reviewed,,not screened
LOC402145,0,1,,Not reviewed,,not screened
LOC646168,0,1,,Not reviewed,,not screened
ANKS1A,0,1,,Not reviewed,,not screened
IGF2,0,1,,Not reviewed,,not screened
Hs.545255,0,1,,Not reviewed,,not screened
EIF3S1,0,1,,Not reviewed,,not screened
Hs.569598,0,1,,Not reviewed,,not screened
Hs.537174,0,1,,Not reviewed,,not screened
Hs.435128,0,1,,Not reviewed,,not screened
MTRF1,0,1,,Not reviewed,,not screened
OR11G2,0,1,,Not reviewed,,not screened
Hs.137098,0,1,,Not reviewed,,not screened
Hs.540087,0,1,,Not reviewed,,not screened
SYAP1,0,1,,Not reviewed,,not screened
Hs.571602,0,1,,Not reviewed,,not screened
TMEM53,0,1,,Not reviewed,,not screened
Hs.566356,0,1,,Not reviewed,,not screened
PGCP,0,1,,Not reviewed,,not screened
Hs.469608,0,1,,Not reviewed,,not screened
LOC441617,0,1,,Not reviewed,,not screened
Hs.581615,0,1,,Not reviewed,,not screened
LOC654113,0,1,,Not reviewed,,not screened
LAMA2,0,1,,Not reviewed,,not screened
C20orf46,0,1,,Not reviewed,,not screened
LOC645879,0,1,,Not reviewed,,not screened
GPS1,0,1,,Not reviewed,,not screened
SGPL1,0,1,,Not reviewed,,not screened
LOC51145,0,1,,Not reviewed,,not screened
Hs.550095,0,1,,Not reviewed,,not screened
Hs.405061,0,1,,Not reviewed,,not screened
Hs.561028,0,1,,Not reviewed,,not screened
Hs.173957,0,1,,Not reviewed,,not screened
MTRR,0,1,,Not reviewed,,not screened
C14orf173,0,1,,Not reviewed,,not screened
Hs.565119,0,1,,Not reviewed,,not screened
PDIA6,0,1,,Not reviewed,,not screened
Hs.225661,0,1,,Not reviewed,,not screened
LOC644419,0,1,,Not reviewed,,not screened
Hs.576802,0,1,,Not reviewed,,not screened
ZNF620,0,1,,Not reviewed,,not screened
LOC652404,0,1,,Not reviewed,,not screened
LOC644374,0,1,,Not reviewed,,not screened
C10orf58,0,1,,Not reviewed,,not screened
NAT10,0,1,,Not reviewed,,not screened
SCYL1BP1,0,1,,Not reviewed,,not screened
OTOS,0,1,,Not reviewed,,not screened
Hs.572475,0,1,,Not reviewed,,not screened
Hs.380737,0,1,,Not reviewed,,not screened
LOC642776,0,1,,Not reviewed,,not screened
LOC653125,0,1,,Not reviewed,,not screened
Hs.581558,0,1,,Not reviewed,,not screened
Hs.444285,0,1,,Not reviewed,,not screened
C14orf166B,0,1,,Not reviewed,,not screened
NRG4,0,1,,Not reviewed,,not screened
Hs.572853,0,1,,Not reviewed,,not screened
Hs.581003,0,1,,Not reviewed,,not screened
IL10,0,1,,Not reviewed,,not screened
SPRR2G,0,1,,Not reviewed,,not screened
Hs.576825,0,1,,Not reviewed,,not screened
HCN4,0,1,,Not reviewed,,not screened
DGCR14,0,1,,Not reviewed,,not screened
Hs.580956,0,1,,Not reviewed,,not screened
