perturbation,brunello.neg.score,brunello.neg.p.value,brunello.neg.fdr,brunello.neg.goodsgrna,brunello.neg.lfc,brunello.pos.score,brunello.pos.p.value,brunello.pos.fdr,brunello.pos.goodsgrna,brunello.pos.lfc,gecko.num,gecko.neg.score,gecko.neg.p.value,gecko.neg.fdr,gecko.neg.goodsgrna,gecko.neg.lfc,gecko.pos.score,gecko.pos.p.value,gecko.pos.fdr,gecko.pos.goodsgrna,gecko.pos.lfc
MBOAT2,0.81023,0.81003,1,0,0.085704,0.3839,0.52718,1,2,0.085704,3,0.29027,0.41575,1,1,0.046528,0.15546,0.2549,0.992729,1,0.046528
MBOAT4,0.9434,0.94342,1,0,0.19301,0.16065,0.28543,1,2,0.19301,3,0.23848,0.3605,1,1,0.025652,0.70939,0.70986,1,1,0.025652
MBOAT7,0.29049,0.42507,1,2,-0.1301,0.40753,0.54683,1,1,-0.1301,3,0.85268,0.85272,1,0,0.11649,0.61449,0.62716,1,1,0.11649
MBP,0.31649,0.45344,1,2,-0.044574,0.8445,0.84423,1,0,-0.044574,3,0.19052,0.30006,1,1,-0.05748,0.93001,0.93012,1,0,-0.05748
MBTD1,0.99954,0.99953,1,0,0.80324,0.00031056,0.0011731,0.123503,4,0.80324,3,0.59711,0.61239,1,1,-0.016575,0.50867,0.54955,1,1,-0.016575
MBTPS1,0.82139,0.82122,1,0,0.54429,0.087445,0.19142,1,3,0.54429,3,0.74725,0.74749,1,0,0.0034681,0.38709,0.47332,1,1,0.0034681
MBTPS2,0.77673,0.77697,1,0,0.084969,0.11693,0.20056,1,2,0.084969,3,0.80805,0.80802,1,0,0.14536,0.10654,0.19083,0.990266,2,0.14536
MC1R,0.67307,0.69113,1,1,-0.050335,0.67555,0.69554,1,1,-0.050335,3,0.89286,0.89292,1,0,0.056511,0.18993,0.29966,0.995953,1,0.056511
MC2R,0.15947,0.28135,1,1,0.10467,0.22534,0.35587,1,2,0.10467,3,0.65961,0.66379,1,1,0.016511,0.028495,0.071855,0.969742,1,0.016511
MC3R,0.28932,0.4238,1,2,-0.10981,0.69383,0.70872,1,1,-0.10981,3,0.0011082,0.0031522,0.588605,2,-0.4912,0.60615,0.62065,1,1,-0.4912
